iter	Passed	Remaining
0	1	328
1	3	302
2	4	297
3	6	298
4	7	293
5	9	294
6	10	291
7	12	291
8	13	295
9	15	297
10	17	298
11	19	297
12	20	293
13	22	295
14	23	294
15	25	291
16	27	291
17	28	288
18	30	289
19	32	289
20	33	287
21	35	286
22	37	285
23	38	282
24	40	280
25	41	279
26	43	279
27	45	277
28	46	275
29	48	273
30	49	271
31	51	269
32	53	268
33	54	266
34	56	264
35	57	262
36	59	260
37	60	258
38	62	256
39	63	254
40	65	253
41	66	251
42	68	249
43	70	248
44	71	246
45	73	245
46	74	242
47	76	240
48	77	238
49	79	237
50	80	235
51	82	234
52	83	232
53	85	230
54	87	229
55	88	228
56	90	227
57	92	225
58	93	223
59	95	221
60	96	220
61	98	218
62	99	216
63	101	215
64	102	213
65	104	211
66	106	210
67	108	209
68	109	208
69	111	206
70	112	204
71	114	203
72	115	201
73	117	200
74	119	198
75	120	196
76	122	195
77	123	193
78	125	191
79	126	190
80	128	188
81	129	186
82	131	185
83	132	183
84	134	181
85	135	180
86	137	178
87	139	177
88	140	175
89	142	174
90	144	172
91	145	170
92	147	169
93	148	167
94	150	166
95	151	164
96	153	162
97	154	161
98	156	159
99	157	157
100	159	155
101	160	154
102	161	152
103	163	150
104	165	149
105	166	147
106	167	145
107	169	144
108	171	142
109	172	141
110	174	139
111	175	138
112	177	136
113	178	134
114	180	133
115	181	131
116	183	130
117	184	128
118	186	126
119	188	125
120	189	123
121	191	122
122	192	120
123	194	119
124	195	117
125	197	115
126	198	114
127	200	112
128	201	111
129	203	109
130	205	108
131	206	106
132	208	105
133	210	103
134	211	101
135	213	100
136	214	98
137	216	97
138	217	95
139	219	94
140	221	92
141	222	91
142	224	89
143	226	87
144	227	86
145	229	84
146	230	83
147	232	81
148	234	80
149	236	78
150	237	77
151	239	75
152	241	74
153	242	72
154	244	70
155	245	69
156	247	67
157	249	66
158	250	64
159	252	63
160	254	61
161	255	59
162	257	58
163	258	56
164	260	55
165	262	53
166	263	52
167	264	50
168	266	48
169	267	47
170	269	45
171	270	44
172	272	42
173	274	40
174	275	39
175	277	37
176	279	36
177	280	34
178	282	33
179	283	31
180	285	29
181	286	28
182	288	26
183	290	25
184	291	23
185	293	22
186	295	20
187	296	18
188	298	17
189	300	15
190	301	14
191	303	12
192	305	11
193	306	9
194	308	7
195	309	6
196	311	4
197	313	3
198	314	1
199	316	0
